HTTPURL and @User,Class Weights,Dataset Type,Lemmatization,Model Type,1,2,5,10,20,30,40,50,Learning Rate
2,1,1,2,DISTILBERT,168|5243|66|198,177|5248|61|189,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,1,2,1,DISTILBERT,1065|9768|13585|365,1060|9404|13949|370,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,1,2,2,DISTILBERT,1068|9264|14089|362,1063|10317|13036|367,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,2,1,1,DISTILBERT,311|4470|839|55,302|4668|641|64,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,2,1,2,DISTILBERT,312|4509|800|54,313|4545|764|53,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,2,2,1,DISTILBERT,1430|0|23353|0,1428|85|23268|2,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
2,2,2,2,DISTILBERT,1430|0|23353|0,1428|140|23213|2,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0|0|0|0,0.00001
1,1,1,1,NBSVM,191|5211|114|159,165|5255|70|185,146|5285|40|204,134|5290|35|216,129|5286|39|221,135|5284|41|215,134|5281|44|216,136|5280|45|214,0.01
1,1,1,2,NBSVM,198|5213|106|158,192|5226|93|164,158|5261|58|198,151|5265|54|205,138|5266|53|218,139|5266|53|217,141|5261|58|215,140|5264|55|216,0.01
1,1,2,1,NBSVM,839|13890|9463|591,815|14568|8785|615,814|14953|8400|616,816|15076|8277|614,812|15099|8254|618,810|15126|8227|620,791|15200|8153|639,792|15205|8148|638,0.002
1,1,2,2,NBSVM,836|13886|9467|594,818|14427|8926|612,803|14712|8641|627,778|15102|8251|652,767|15234|8119|663,758|15141|8212|672,760|15116|8237|670,753|15101|8252|677,0.002
1,2,1,1,NBSVM,306|4540|742|87,268|4899|383|125,259|5013|269|134,227|5094|188|166,200|5140|142|193,192|5138|144|201,192|5144|138|201,191|5142|140|202,0.01
1,2,1,2,NBSVM,299|4597|697|82,274|4914|380|107,255|5027|267|126,231|5092|202|150,207|5174|120|174,195|5185|109|186,195|5174|120|186,194|5156|138|187,0.01
1,2,2,1,NBSVM,1367|1108|22245|63,1355|1345|22008|75,1333|2028|21325|97,1314|2605|20748|116,1290|3084|20269|140,1278|3384|19969|152,1270|3530|19823|160,1267|3692|19661|163,0.002
1,2,2,2,NBSVM,1370|1011|22342|60,1363|1196|22157|67,1344|1733|21620|86,1321|2362|20991|109,1306|2763|20590|124,1301|3038|20315|129,1293|3294|20059|137,1287|3524|19829|143,0.01
2,1,1,1,NBSVM,180|5231|96|168,156|5263|64|192,140|5285|42|208,131|5294|33|217,129|5296|31|219,129|5293|34|219,129|5295|32|219,126|5296|31|222,0.01
2,1,1,2,NBSVM,207|5179|118|171,182|5214|83|196,159|5244|53|219,151|5250|47|227,144|5252|45|234,148|5248|49|230,146|5250|47|232,147|5251|46|231,0.01
2,1,2,1,NBSVM,946|12729|10624|484,824|15084|8269|606,851|14817|8536|579,831|15077|8276|599,780|15123|5230|650,779|15148|8205|651,815|14934|8419|615,806|14940|8413|624,0.005
2,1,2,2,NBSVM,964|12637|10986|466,905|13666|9687|525,861|14434|8919|569,849|14726|8627|581,842|14776|8577|588,839|14680|8673|591,836|14650|8703|594,831|14747|8606|599,0.005
2,2,1,1,NBSVM,294|4548|745|88,252|4935|358|130,245|5026|267|137,213|5122|171|169,194|5135|158|188,183|5109|184|199,186|5050|243|196,184|5017|276|198,0.01
2,2,1,2,NBSVM,286|4523|800|66,258|4888|435|94,244|5005|318|108,230|5070|253|122,203|5142|181|149,192|5127|196|160,189|5089|234|163,188|5065|258|164,0.01
2,2,2,1,NBSVM,1405|600|22753|25,1395|812|22541|35,1370|1484|21869|60,1356|2104|21249|74,1334|2751|20602|96,1393|1015|22338|37,1324|3137|20216|106,1316|3348|20005|114,0.002
2,2,2,2,NBSVM,1409|536|22817|21,1408|747|22606|22,1386|1375|21978|44,1366|2058|21295|64,1344|2699|20654|86,1330|2997|20356|100,1321|3264|20089|109,1311|3449|19904|119,0.002
